pin_position;weld_time;energy_input;laser_energy;stator_id;ProduktID;Pinbezeichnung;Ergebnis;Pinspitze_X;Pinspitze_Y;Abstand_Pins_horizontal;Abstand_Pins_vertikal;Breite;Laenge;Anzahl_Kreise;min_relative_Hoehe;max_Abweichung_Konzentrizitaet;left_pin_id;right_pin_id;Drahtprüfung_Ergebnis_x;Pin_ID_x;Differenz_Abisolierposition_x;Differenz_Abisolierlaenge_max_x;Differenz_Abisoliermitte_max_x;Isolations-Einzeldefektflaeche_max_x;Isolations-Gesamtdefektflaeche_x;Abisolierungs-Einzeldefektflaeche_max_x;Abisolierungs-Gesamtdefektflaeche_x;Dachbiegen_Ergebnis_x;Pin_Type_x;Dachwinkel_links_x;Dachwinkel_rechts_x;Schenkelwinkel_links_x;Schenkelwinkel_rechts_x;Winkelsumme_x;Dachlaenge_x;Schulterlaenge_links_x;Schulterlaenge_rechts_x;Pinbreite_Fuss_x;Schenkellaenge_links_x;Schenkellaenge_rechts_x;Praegung_links_x;Praegung_rechts_x;3D_Biegen_Ergebnis_x;X_x;Y_x;Verdrehung_x;Abweichung_relativ_x;Winkel_relativ_x;Verdrehung_relativ_x;schnittkraft_x;praegekraft_x;cutting_machine_x;forming_machine_x;Abisolieren_Cluster_x;Abisolieren_eval_x;Dachbiegen_Cluster_x;3D_Biegen_Cluster_x;Schneiden_Cluster_x;Drahtprüfung_Ergebnis_y;Pin_ID_y;Differenz_Abisolierposition_y;Differenz_Abisolierlaenge_max_y;Differenz_Abisoliermitte_max_y;Isolations-Einzeldefektflaeche_max_y;Isolations-Gesamtdefektflaeche_y;Abisolierungs-Einzeldefektflaeche_max_y;Abisolierungs-Gesamtdefektflaeche_y;Dachbiegen_Ergebnis_y;Pin_Type_y;Dachwinkel_links_y;Dachwinkel_rechts_y;Schenkelwinkel_links_y;Schenkelwinkel_rechts_y;Winkelsumme_y;Dachlaenge_y;Schulterlaenge_links_y;Schulterlaenge_rechts_y;Pinbreite_Fuss_y;Schenkellaenge_links_y;Schenkellaenge_rechts_y;Praegung_links_y;Praegung_rechts_y;3D_Biegen_Ergebnis_y;X_y;Y_y;Verdrehung_y;Abweichung_relativ_y;Winkel_relativ_y;Verdrehung_relativ_y;schnittkraft_y;praegekraft_y;cutting_machine_y;forming_machine_y
48S2;1687740024;713;3850;0EH902171E;#0EH902171E    ###*1PS VWS65P1L31U*=;48S2;NIO;276,7;21;8,1;14,20;2,9;6;10;0,2;2,3;370EH959969H 025062331045;370EH959969J 025062331010;Pass;370EH959969H 025062331045;-0,43243513;0,277773727;-0,384372724;0,024447972;0,024447972;0,10452738;0,305540266;Pass;CD1080;44,0452837;42,61655606;46,80260497;47,77830043;-1,242745156;20,25647969;41,94251576;42,6384859;82,40473784;246,8008082;248,2336829;0,879239929;0,898322382;Pass;9,655811681;0,012777501;0,75390977;1,558809069;-40,31768157;-2,951728527;3,86655;1,62132;51;37;3;Gut;2;2;2;Pass;370EH959969J 025062331010;-0,656924713;0,398361249;-0,369299284;0;0;0;0;Pass;CD1060;44,82060368;41,00553134;47,19064809;47,93060525;-0,947388356;15,90260074;29,20099989;29,15360129;60,85024091;249,2539705;249,5600917;0,892058291;0,900130987;Pass;-19,66951442;-6,03651582;15,7582946;1,718716582;-38,47391449;-1,813130623;3,76225;1,57094;51;37
04S2;1687168484;711;3850;0EH902171E;#0EH902171E    ###*1PS VWS65J0K61P*=;04S2;NIO;324,4;20,4;9,2;14,20;2,7;5,6;10;0,3;1,7;400EH959969H 019062308563;400EH959969J 019062308528;Pass;400EH959969H 019062308563;-2,11195036;-0,204576357;-0,429593044;0;0;1,79077576;2,543725787;Pass;CD1080;44,34453541;41,97219905;46,56438384;47,79443098;-0,675549282;20,04911189;41,8429112;42,36904136;84,21422498;246,5920047;247,3380177;0,871197584;0,881273883;Pass;2,26996772;2,071895375;2,024188261;6,285709947;170,3790204;-1,681450036;3,7846;1,6946;50;37;0;Medium;2;0;2;Pass;400EH959969J 019062308528;-0,581995458;-0,325163879;0,437129764;0;0;0,076160267;1,295012968;Pass;CD1060;44,76706317;41,09821831;46,92797055;47,72689193;-0,520143958;15,52060146;29,0079735;29,00134547;61,65748443;249,0004264;248,8931453;0,872198341;0,884800972;Pass;-17,94193461;-2,992198457;18,1075309;3,65306453;32,72741883;0,536105677;3,7697;1,73124;50;37
04S2;1687352881;711;3850;0EH902171E;#0EH902171E    ###*1PS VWS65L0AI1T*=;04S2;NIO;324,6;20,2;8,9;14,00;2,2;5,8;10;0,2;2;420EH959969H 021062304026;420EH959969J 021062303991;Pass;420EH959969H 021062304026;50,32782971;-0,313425391;-0,331756341;0;0;0,438229209;2,754054747;Pass;CD1080;44,49107245;42,14788011;46,91015579;47,95511512;-1,50422347;20,22946209;41,77740732;42,24129454;80,30629129;249,8040474;250,823166;0,895839962;0,939616332;Pass;0,76257606;-6,411890046;0,381576705;5,753156193;-124,4349901;0,075531424;3,83675;1,37858;50;42;0;Medium;2;1;3;Pass;420EH959969J 021062303991;52,15886412;-0,373744726;-0,346836174;0;0;0,72998025;3,907439038;Pass;CD1060;44,92538777;40,65904669;47,46025067;47,94815041;-0,992835537;15,75021405;28,81663243;28,63453868;59,09025998;250,755087;251,9026475;0,899097589;0,940014297;Pass;-28,21747308;-8,715579718;16,45423769;13,26580929;-155,2323579;-1,820584322;3,874;1,374;50;42
15S1;1687352899;711;3850;0EH902171E;#0EH902171E    ###*1PS VWS65L0AI1T*=;15S1;NIO;458,3;29,6;0;13,90;3,5;5,9;10;1,1;0,1;420EH959969G 021062303923;420EH959969F 021062303980;Pass;420EH959969G 021062303923;51,73431488;-0,373744726;-0,271437006;0;0;0,515988162;2,529559346;Pass;AB1060;43,86907647;40,91988539;47,84392513;48,60723096;-1,24011795;16,12188968;30,41094469;30,74112926;61,37809091;252,5794808;253,8205822;0,90005258;0,934823134;Pass;-28,08462164;-7,083015914;15,98424735;12,35304922;-159,1650474;-3,154013104;3,82185;1,38774;50;42;0;Medium;1;4;3;Pass;420EH959969F 021062303980;50,01003707;-0,373744726;-0,294056756;1,396475721;1,396475721;0,209429173;0,508412002;Pass;AB1080;44,39556271;40,55701599;47,48486674;48,00965578;-0,447101216;19,85290527;44,11806878;44,74947977;88,89713698;250,4136074;251,9328303;0,915846105;0,940354634;Pass;0,740432906;-4,096638055;0,594108767;6,4082554;-134,3225105;0,552770539;3,7846;1,37858;50;42
16S3;1687339096;712;3850;0EH902171E;#0EH902171E    ###*1PS VWS65L0KP13*=;16S3;NIO;468,8;11,5;8,9;13,80;3;5,1;10;0,1;2;340EH959969K 221062310451;340EH959969L 021062310439;Pass;340EH959969K 221062310451;0,538106052;-0,292096722;-0,892110522;0;0;0,402573694;0,402573694;Pass;EF1082;47,0103146;41,9520469;45,48498541;46,15289198;-0,600238886;20,10467628;40,17965126;39,10983303;79,53307203;261,5963202;245,2773439;0,933399972;0,911059337;Pass;6,639069016;-1,473704806;0,292185935;7,261898115;-69,55940718;-1,220796358;4,3508;1,374;51;34;3;Gut;2;2;1;Pass;340EH959969L 021062310439;0,727189188;-0,292096722;-0,899607249;0;0;0;0;Pass;EF1060;47,18763023;41,23066726;45,76130905;46,74970148;-0,929308025;15,7919654;27,64050782;26,6028607;55,93625073;247,0144531;247,3839607;0,899212446;0,920023314;Pass;-20,13324894;-5,309233363;15,14332854;7,047492432;-71,9055333;-2,692074263;4,28375;1,40148;51;34
07S3;1687163538;711;3850;0EH902171E;#0EH902171E    ###*1PS VWS65J0H21I*=;07S3;NIO;361;11,8;9,1;13,80;2,6;5,5;10;0,2;2;400EH959969L 019062307414;400EH959969K 019062307427;Pass;400EH959969L 019062307414;-0,694423005;0,398361249;0,263785203;0;0;0;0;Pass;EF1060;47,09797138;41,29567306;45,35245985;46,56927185;-0,315376146;15,66756772;27,92358899;27,08055677;59,48105608;246,300808;246,8052892;0,863476734;0,881153353;Pass;-19,61498596;-5,312399823;17,91515879;3,487333243;-140,1692845;0,049858974;3,73245;1,7175;50;37;4;Gut;3;4;2;Pass;400EH959969K 019062307427;-2,144694627;-0,204576357;-0,474813365;0;0;0;0;Pass;EF1080;46,27241479;43,03675519;45,25640423;45,9947322;-0,5603064;20,2221746;40,33189861;39,76191884;80,62594857;244,5794794;244,1091882;0,854980745;0,890079544;Pass;0,04959492;2,132520772;4,93047482;7,504543723;162,1909138;0,496304067;3,725;1,72208;50;37
01S1;1687052689;703;3800;0EH902171E;#0EH902171E    ###*1PS VWS65I01K1J*=;01S1;NIO;291,5;29,3;0;13,40;3,2;5,9;10;1,5;0,2;400EH959969G 018062300435;400EH959969F 118062300450;Pass;400EH959969G 018062300435;-1,812314949;0,277773727;-0,422056324;0;0;0,117794773;0,404163486;Pass;AB1060;44,41133647;40,47196094;47,33442509;48,28659735;-0,504319839;15,8343003;30,75201396;30,97425081;65,05038488;251,196176;251,6447887;0,853488267;0,879705565;Pass;-16,86716167;-2,088504784;16,47623174;2,130935223;140,9508418;-0,242896273;3,82185;1,73124;50;37;3;Gut;1;0;2;Pass;400EH959969F 118062300450;-2,981759153;0,338067488;-0,467276645;0;0;0,052849016;0,220795215;Pass;AB1081;44,49159809;40,62834127;47,23653081;48,05010279;-0,406572962;19,96674843;44,56181675;45,29615738;90,19340603;250,1942324;260,9505474;0,856591558;0,88389282;Pass;3,239131295;4,558494543;3,860467763;7,351408806;142,6528944;2,614440148;3,7995;1,72208;50;37
04S3;1687158081;732;3950;0EH902171E;#0EH902171E    ###*1PS VWS65J0BD1N*=;04S3;NIO;327,3;11,6;8,9;13,30;3,4;5;10;1,5;0,1;300EH959969K 019062305229;300EH959969L 019062305194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pass;300EH959969L 019062305194;-0,95917392;0,409837231;0,761516338;0;0;0;0;Pass;EF1060;47,15817504;41,62588142;45,36033122;46,42898295;-0,573370633;15,70191322;28,00868906;27,17966506;58,43875965;246,7611196;245,6519597;0,91455143;0,957737613;Pass;-28,35123752;-1,901782616;15,16711833;10,56466875;152,1840823;-0,812849565;4,4849;1,3282;50;30
06S2;1687052850;703;3800;0EH902171E;#0EH902171E    ###*1PS VWS65I01K1J*=;06S2;IO;350,9;20,8;8,8;12,50;3,4;5,4;10;1,5;0,1;400EH959969H 018062300503;400EH959969J 018062300468;Pass;400EH959969H 018062300503;-2,501572339;0,277773727;-0,331615683;0;0;0,043280205;0,043280205;Pass;CD1080;44,2791948;42,01243147;46,53379874;47,75670662;-0,582131626;20,01058317;41,81738758;42,38925549;84,87788931;246,6038347;247,3190778;0,858529328;0,884716463;Pass;2,62989061;2,208957569;2,958163002;5,956958528;168,5003441;-0,747475296;3,82185;1,72666;50;37;3;Gut;2;0;2;Pass;400EH959969J 018062300468;-0,337086054;0,338067488;-0,361762564;0;0;0,609553595;0,934384177;Pass;CD1060;44,7176832;41,13408525;46,8984272;47,69200459;-0,442200241;15,50448063;29,00181371;29,01190858;62,04081217;248,9949887;248,8946303;0,856524259;0,886759788;Pass;-17,4971715;-3,15157694;18,03747035;3,958812461;27,29865756;0,466045134;3,7995;1,7175;50;37
14S2;1687163550;711;3850;0EH902171E;#0EH902171E    ###*1PS VWS65J0H21I*=;14S2;IO;446,4;20,8;8,9;12,50;2,5;5,9;10;0,5;0,4;400EH959969H 019062307382;400EH959969J 019062307370;Pass;400EH959969H 019062307382;-2,046222227;0,338067488;0,316542243;0;0;0;0;Pass;CD1080;44,33044547;42,00470279;46,55319408;47,82939441;-0,717736744;20,03622344;41,83830542;42,39933755;84,18116038;246,6007255;247,30267;0,857210087;0,88485171;Pass;2,40109994;1,359140474;2,447134947;6,075565269;176,8129667;-1,25850335;3,7697;1,71292;50;37;4;Gut;2;0;2;Pass;400EH959969J 019062307370;-0,413682931;-0,264870118;-0,346689124;0;0;0,038173447;0,038173447;Pass;CD1060;44,78146341;41,12318084;46,91652176;47,66751629;-0,48868229;15,52812187;29,00993349;28,99822253;61,59750875;249,0303712;248,8916354;0,855194195;0,880801603;Pass;-18,6237539;-3,184572736;18,8780173;2,982653575;36,70288881;1,30659208;3,7548;1,72208;50;37
